D1,D19,D31,D40,D49,D61,D28,D58
70.6094,-174.9906,-178.15,179.9715,-179.7869,-179.9918,83.875,179.4183
-62.4994,-171.113,-178.0512,-179.8357,-179.7209,-179.9556,76.2524,173.4745
175.8485,-70.8182,-175.9898,-179.8007,-179.9011,-179.9745,152.7517,-179.3411
171.6183,62.6192,173.7091,179.7604,179.727,179.9798,158.8245,-173.5529
59.5383,60.3122,173.0479,179.5434,179.6732,179.9314,158.4531,-173.097
70.9525,-174.5945,-174.0106,-65.2849,-176.456,-179.9095,84.1359,179.6431
70.7682,-176.9034,69.8297,177.4483,179.9056,179.9267,83.1934,178.8233
171.743,62.4839,169.4665,64.9402,176.6664,179.9246,158.7775,-173.685
-62.2859,-170.9271,-174.1456,-65.1879,-176.505,-179.9159,76.435,173.5455
70.5922,-174.9301,-178.1481,-179.9699,177.2528,65.4739,83.8312,179.3162
70.6235,-174.9777,-178.2987,-179.972,-176.9554,-65.4838,83.8124,179.3934
-62.507,-171.3286,-178.1905,-177.2008,-65.903,-177.0567,76.1518,173.5175
70.4914,-175.2708,-178.3258,176.4248,66.1022,176.873,83.7234,179.2411
176.332,-69.4008,-170.9897,-65.0693,-176.5628,-179.9376,152.9157,-178.9991
-62.4544,-171.1066,-178.1306,-179.843,177.2306,65.514,76.1361,173.3845
-62.4041,-171.0564,-177.9545,-179.7767,-176.5521,-65.4006,76.0703,173.2416
-62.5695,-172.8828,70.3406,177.7958,179.9786,179.9562,75.1435,172.675
70.4754,-174.7543,178.2532,66.2474,176.434,179.9419,83.7593,179.2932
171.6672,62.3893,173.38,176.6515,65.7225,177.0215,158.5571,-173.7105
-62.654,-171.3813,-178.3239,176.6258,66.1654,176.8558,75.7617,173.0545
175.9598,-70.6084,-175.9046,-176.3129,-65.8551,-176.6979,152.6671,-179.4389
175.8532,-70.9112,-176.0727,-179.8235,-176.9281,-65.3932,152.7415,-179.3469
175.8021,-71.0463,-176.2101,-179.9138,177.0209,65.475,152.5522,-179.4539
171.6369,62.5278,173.5368,179.6705,176.6473,65.3954,158.7608,-173.6697
-62.5109,-170.9184,178.2757,66.4664,176.3977,179.9677,75.9862,173.2866
171.6044,62.6047,173.7026,179.782,-177.3084,-65.5246,158.9107,-173.4458
175.8432,-70.9912,-176.1121,177.1171,66.2866,176.6837,152.6656,-179.3859
171.5259,62.7431,173.8437,-177.012,-66.3302,-176.8377,158.9841,-173.3989
174.883,-73.5838,178.3319,65.5792,176.2133,179.9203,152.6391,-179.5736
176.9579,-67.6702,-64.5018,-174.9799,-179.9278,-179.8893,151.6105,179.9756
62.0063,60.5663,173.7953,179.6938,179.6618,179.9939,80.5777,175.9192
69.8048,-175.4878,-178.8205,179.8521,-179.7547,179.9837,85.0733,85.9813
-60.5691,-62.2282,-173.618,-179.359,-179.8407,-179.9753,153.9934,-175.9139
171.3574,62.9588,176.3869,-67.9145,-176.6603,179.9472,159.7353,-172.6484
176.1155,-70.0229,-175.5525,-179.7683,-179.897,-179.9832,151.6647,-85.9948
-60.1789,-171.0757,-178.5302,179.969,-179.7982,179.988,83.7295,86.413
